id,.site.name,.group,had.read,load,lkl,eff.split,count.eff,count.hard,badness,importance,end.num,tempt,excluded,n.excl
1,MTurk,a.mturk,0,1,5,2,10,10,3,7,497,1,0,162
2,MTurk,a.mturk,0,0,1,NA,NA,NA,9,7,NA,1,0,162
3,MTurk,a.mturk,1,0,1,NA,NA,NA,9,5,NA,0,0,162
4,MTurk,a.mturk,1,1,2,5,6,4,6,7,552,0,0,162
5,MTurk,a.mturk,1,0,2,NA,NA,NA,7,8,NA,0,0,162
6,MTurk,a.mturk,0,0,1,NA,NA,NA,8,5,NA,1,0,162
7,MTurk,a.mturk,1,1,7,6,2,1,2,2,558,0,0,162
8,MTurk,a.mturk,0,0,7,NA,NA,NA,4,9,NA,1,0,162
9,MTurk,a.mturk,0,1,5,6,10,10,10,10,515,1,0,162
10,MTurk,a.mturk,0,0,1,NA,NA,NA,9,7,NA,1,0,162
11,MTurk,a.mturk,1,1,3,2,5,3,5,4,524,0,0,162
12,MTurk,a.mturk,0,1,2,5,8,6,7,4,496,1,0,162
13,MTurk,a.mturk,1,0,3,NA,NA,NA,9,9,NA,0,0,162
14,MTurk,a.mturk,1,1,6,5,10,10,4,8,516,0,0,162
15,MTurk,a.mturk,1,0,0,NA,NA,NA,10,10,NA,0,0,162
16,MTurk,a.mturk,0,0,1,NA,NA,NA,5,7,NA,1,0,162
17,MTurk,a.mturk,0,1,3,3,6,5,7,6,543,1,0,162
18,MTurk,a.mturk,1,0,0,NA,NA,NA,5,8,NA,0,0,162
19,MTurk,a.mturk,0,0,3,NA,NA,NA,10,10,NA,1,0,162
20,MTurk,a.mturk,0,1,5,5,8,7,4,6,528,1,0,162
21,MTurk,a.mturk,0,1,5,3,4,3,7,5,537,1,0,162
22,MTurk,a.mturk,0,0,1,NA,NA,NA,6,4,NA,1,0,162
24,MTurk,a.mturk,0,0,1,NA,NA,NA,8,6,NA,1,0,162
25,MTurk,a.mturk,1,0,5,NA,NA,NA,10,10,NA,0,0,162
26,MTurk,a.mturk,1,0,7,NA,NA,NA,2,2,NA,0,0,162
27,MTurk,a.mturk,0,0,6,NA,NA,NA,5,8,NA,1,0,162
28,MTurk,a.mturk,0,0,5,NA,NA,NA,7,8,NA,1,0,162
29,MTurk,a.mturk,1,0,1,NA,NA,NA,7,8,NA,0,0,162
30,MTurk,a.mturk,1,1,6,5,8,3,7,5,522,0,0,162
31,MTurk,a.mturk,1,0,7,NA,NA,NA,8,8,NA,0,0,162
32,MTurk,a.mturk,0,0,10,NA,NA,NA,7,10,NA,1,0,162
33,MTurk,a.mturk,0,0,2,NA,NA,NA,10,8,NA,1,0,162
34,MTurk,a.mturk,1,0,2,NA,NA,NA,8,8,NA,0,0,162
35,MTurk,a.mturk,1,0,6,NA,NA,NA,8,9,NA,0,0,162
36,MTurk,a.mturk,0,0,2,NA,NA,NA,7,7,NA,1,0,162
37,MTurk,a.mturk,1,0,4,NA,NA,NA,5,9,NA,0,0,162
38,MTurk,a.mturk,0,0,4,NA,NA,NA,10,9,NA,1,0,162
39,MTurk,a.mturk,1,0,0,NA,NA,NA,10,7,NA,0,0,162
40,MTurk,a.mturk,1,1,3,5,9,2,9,6,513,0,0,162
41,MTurk,a.mturk,0,1,2,5,9,9,8,7,549,1,0,162
42,MTurk,a.mturk,0,0,1,NA,NA,NA,5,6,NA,1,0,162
43,MTurk,a.mturk,1,0,5,NA,NA,NA,7,9,NA,0,0,162
44,MTurk,a.mturk,1,0,1,NA,NA,NA,2,7,NA,0,0,162
45,MTurk,a.mturk,1,0,5,NA,NA,NA,5,10,NA,0,0,162
46,MTurk,a.mturk,1,0,1,NA,NA,NA,6,4,NA,0,0,162
47,MTurk,a.mturk,0,1,1,3,7,7,6,3,504,1,0,162
48,MTurk,a.mturk,0,0,2,NA,NA,NA,6,6,NA,1,0,162
49,MTurk,a.mturk,0,1,5,4,10,10,1,9,531,1,0,162
50,MTurk,a.mturk,0,0,7,NA,NA,NA,3,4,NA,1,0,162
51,MTurk,a.mturk,0,0,1,NA,NA,NA,2,4,NA,1,0,162
52,MTurk,a.mturk,1,0,4,NA,NA,NA,10,10,NA,0,0,162
53,MTurk,a.mturk,0,0,3,NA,NA,NA,10,10,NA,1,0,162
54,MTurk,a.mturk,1,1,1,4,7,6,4,5,498,0,0,162
55,MTurk,a.mturk,1,0,7,NA,NA,NA,6,7,NA,0,0,162
56,MTurk,a.mturk,0,1,5,1,10,10,3,5,504,1,0,162
57,MTurk,a.mturk,0,1,5,2,9,8,10,10,529,1,0,162
58,MTurk,a.mturk,0,1,1,1,10,10,9,4,555,1,0,162
59,MTurk,a.mturk,1,1,4,2,5,7,7,8,543,0,0,162
60,MTurk,a.mturk,1,1,2,4,5,0,5,8,530,0,0,162
61,MTurk,a.mturk,0,0,0,NA,NA,NA,9,8,NA,1,0,162
62,MTurk,a.mturk,0,1,8,2,9,9,4,8,555,1,0,162
63,MTurk,a.mturk,1,1,2,5,9,9,10,10,492,0,0,162
64,MTurk,a.mturk,1,0,2,NA,NA,NA,6,5,NA,0,0,162
65,MTurk,a.mturk,0,0,2,NA,NA,NA,4,4,NA,1,0,162
66,MTurk,a.mturk,1,1,0,2,10,10,10,4,549,0,0,162
67,MTurk,a.mturk,1,0,1,NA,NA,NA,8,10,NA,0,0,162
68,MTurk,a.mturk,0,1,4,2,8,9,9,9,548,1,0,162
69,MTurk,a.mturk,0,1,5,4,10,10,10,8,480,1,0,162
70,MTurk,a.mturk,1,0,1,NA,NA,NA,1,3,NA,0,0,162
72,MTurk,a.mturk,0,0,5,NA,NA,NA,7,10,NA,1,0,162
73,MTurk,a.mturk,0,0,3,NA,NA,NA,7,6,NA,1,0,162
74,MTurk,a.mturk,0,1,1,6,10,9,3,7,504,1,0,162
75,MTurk,a.mturk,1,1,2,4,10,9,9,9,535,0,0,162
76,MTurk,a.mturk,0,1,2,4,10,8,8,9,528,1,0,162
77,MTurk,a.mturk,0,0,8,NA,NA,NA,9,8,NA,1,0,162
78,MTurk,a.mturk,1,1,1,5,10,9,10,9,510,0,0,162
79,MTurk,a.mturk,0,1,3,3,9,8,6,8,538,1,0,162
80,MTurk,a.mturk,1,1,1,3,5,5,6,5,474,0,0,162
81,MTurk,a.mturk,1,0,0,NA,NA,NA,0,3,NA,0,0,162
82,MTurk,a.mturk,1,0,1,NA,NA,NA,3,6,NA,0,0,162
83,MTurk,a.mturk,0,1,3,2,10,10,10,8,541,1,0,162
84,MTurk,a.mturk,0,1,5,3,9,9,6,10,356,1,0,162
85,MTurk,a.mturk,1,1,2,5,8,9,9,9,381,0,0,162
86,MTurk,a.mturk,1,1,1,3,9,9,9,9,546,0,0,162
87,MTurk,a.mturk,1,0,5,NA,NA,NA,1,1,NA,0,0,162
88,MTurk,a.mturk,0,0,4,NA,NA,NA,7,9,NA,1,0,162
89,MTurk,a.mturk,0,0,2,NA,NA,NA,9,8,NA,1,0,162
90,MTurk,a.mturk,0,0,4,NA,NA,NA,6,7,NA,1,0,162
91,MTurk,a.mturk,0,0,0,NA,NA,NA,7,0,NA,1,0,162
92,MTurk,a.mturk,0,1,7,2,10,10,10,10,491,1,0,162
93,MTurk,a.mturk,1,1,8,2,7,5,4,10,501,0,0,162
94,MTurk,a.mturk,1,1,5,6,10,10,7,9,480,0,0,162
95,MTurk,a.mturk,0,1,2,3,7,5,0,7,531,1,0,162
96,MTurk,a.mturk,1,0,7,NA,NA,NA,4,7,NA,0,0,162
97,MTurk,a.mturk,1,1,1,3,5,8,9,4,190,0,0,162
98,MTurk,a.mturk,1,0,2,NA,NA,NA,10,9,NA,0,0,162
99,MTurk,a.mturk,1,0,1,NA,NA,NA,8,8,NA,0,0,162
100,MTurk,a.mturk,0,0,1,NA,NA,NA,10,5,NA,1,0,162
101,MTurk,a.mturk,1,1,8,2,10,8,10,10,500,0,0,162
102,MTurk,a.mturk,1,0,0,NA,NA,NA,7,1,NA,0,0,162
103,MTurk,a.mturk,0,0,1,NA,NA,NA,6,4,NA,1,0,162
104,MTurk,a.mturk,0,1,1,2,7,7,7,6,543,1,0,162
105,MTurk,a.mturk,1,0,3,NA,NA,NA,8,6,NA,0,0,162
106,MTurk,a.mturk,0,0,1,NA,NA,NA,8,2,NA,1,0,162
107,MTurk,a.mturk,1,1,3,5,10,10,10,8,546,0,0,162
108,MTurk,a.mturk,0,0,2,NA,NA,NA,9,10,NA,1,0,162
109,MTurk,a.mturk,0,0,3,NA,NA,NA,4,7,NA,1,0,162
110,MTurk,a.mturk,1,1,1,4,9,2,8,9,507,0,0,162
111,MTurk,a.mturk,1,0,1,NA,NA,NA,10,10,NA,0,0,162
112,MTurk,a.mturk,0,0,4,NA,NA,NA,9,7,NA,1,0,162
113,MTurk,a.mturk,1,0,7,NA,NA,NA,7,7,NA,0,0,162
114,MTurk,a.mturk,1,0,3,NA,NA,NA,6,4,NA,0,0,162
115,MTurk,a.mturk,0,0,1,NA,NA,NA,8,6,NA,1,0,162
117,MTurk,a.mturk,0,0,8,NA,NA,NA,4,8,NA,1,0,162
118,MTurk,a.mturk,1,0,0,NA,NA,NA,7,2,NA,0,0,162
119,MTurk,a.mturk,0,1,3,2,3,2,7,7,537,1,0,162
120,MTurk,a.mturk,0,1,7,5,9,9,9,9,546,1,0,162
121,MTurk,a.mturk,0,1,2,2,8,8,7,9,225,1,0,162
122,MTurk,a.mturk,1,1,1,4,9,9,10,6,510,0,0,162
123,MTurk,a.mturk,1,0,1,NA,NA,NA,8,9,NA,0,0,162
124,MTurk,a.mturk,0,0,1,NA,NA,NA,2,6,NA,1,0,162
126,MTurk,a.mturk,0,1,0,4,6,6,3,6,521,1,0,162
127,MTurk,a.mturk,1,0,4,NA,NA,NA,9,10,NA,0,0,162
128,MTurk,a.mturk,1,1,7,4,4,9,7,5,7,0,0,162
129,MTurk,a.mturk,0,1,8,6,10,10,10,8,525,1,0,162
131,MTurk,a.mturk,0,0,2,NA,NA,NA,7,5,NA,1,0,162
132,MTurk,a.mturk,0,0,5,NA,NA,NA,10,9,NA,1,0,162
133,MTurk,a.mturk,1,1,5,3,10,10,10,8,546,0,0,162
134,MTurk,a.mturk,0,0,2,NA,NA,NA,6,3,NA,1,0,162
135,MTurk,a.mturk,1,0,2,NA,NA,NA,9,7,NA,0,0,162
136,MTurk,a.mturk,1,0,1,NA,NA,NA,3,7,NA,0,0,162
137,MTurk,a.mturk,1,0,1,NA,NA,NA,6,6,NA,0,0,162
138,MTurk,a.mturk,0,1,4,4,7,4,7,2,444,1,0,162
140,MTurk,a.mturk,1,1,7,1,4,10,8,5,450,0,0,162
141,MTurk,a.mturk,0,0,1,NA,NA,NA,10,8,NA,1,0,162
142,MTurk,a.mturk,0,0,3,NA,NA,NA,10,9,NA,1,0,162
143,MTurk,a.mturk,0,1,7,2,9,8,8,7,534,1,0,162
144,MTurk,a.mturk,0,1,4,2,9,8,3,4,534,1,0,162
145,MTurk,a.mturk,1,0,7,NA,NA,NA,10,8,NA,0,0,162
146,MTurk,a.mturk,0,1,8,5,7,6,8,7,8,1,0,162
147,MTurk,a.mturk,1,0,2,NA,NA,NA,3,4,NA,0,0,162
148,MTurk,a.mturk,0,0,6,NA,NA,NA,5,5,NA,1,0,162
149,MTurk,a.mturk,0,0,1,NA,NA,NA,10,10,NA,1,0,162
150,MTurk,a.mturk,1,0,2,NA,NA,NA,10,10,NA,0,0,162
151,MTurk,a.mturk,0,0,4,NA,NA,NA,2,6,NA,1,0,162
153,MTurk,a.mturk,0,0,1,NA,NA,NA,6,8,NA,1,0,162
154,MTurk,a.mturk,0,0,2,NA,NA,NA,8,9,NA,1,0,162
155,MTurk,a.mturk,0,1,5,2,8,7,8,10,555,1,0,162
156,MTurk,a.mturk,1,0,0,NA,NA,NA,1,1,NA,0,0,162
157,MTurk,a.mturk,1,1,1,3,9,8,7,4,1,0,0,162
158,MTurk,a.mturk,0,1,1,4,8,7,8,6,516,1,0,162
160,MTurk,a.mturk,0,0,1,NA,NA,NA,8,8,NA,1,0,162
161,MTurk,a.mturk,1,0,1,NA,NA,NA,8,9,NA,0,0,162
162,MTurk,a.mturk,1,1,2,4,7,8,2,6,555,0,0,162
163,MTurk,a.mturk,0,0,1,NA,NA,NA,10,7,NA,1,0,162
164,MTurk,a.mturk,1,0,1,NA,NA,NA,9,1,NA,0,0,162
165,MTurk,a.mturk,1,1,6,4,7,10,9,9,560,0,0,162
166,MTurk,a.mturk,1,1,5,3,10,10,3,9,500,0,0,162
167,MTurk,a.mturk,1,1,2,3,7,1,10,9,513,0,0,162
168,MTurk,a.mturk,1,0,4,NA,NA,NA,7,9,NA,0,0,162
169,MTurk,a.mturk,0,1,3,5,10,10,10,8,506,1,0,162
171,MTurk,a.mturk,0,0,1,NA,NA,NA,1,5,NA,1,0,162
173,MTurk,a.mturk,1,0,5,NA,NA,NA,3,9,NA,0,0,162
174,MTurk,a.mturk,0,1,4,2,7,7,8,7,552,1,0,162
175,MTurk,a.mturk,0,0,5,NA,NA,NA,3,7,NA,1,0,162
176,MTurk,a.mturk,0,0,1,NA,NA,NA,10,7,NA,1,0,162
177,MTurk,a.mturk,1,1,4,5,7,10,8,7,534,0,0,162
178,MTurk,a.mturk,1,0,2,NA,NA,NA,10,9,NA,0,0,162
179,MTurk,a.mturk,1,1,5,1,7,8,5,5,557,0,0,162
180,MTurk,a.mturk,0,0,1,NA,NA,NA,9,6,NA,1,0,162
181,MTurk,a.mturk,1,0,1,NA,NA,NA,6,6,NA,0,0,162
182,MTurk,a.mturk,1,0,1,NA,NA,NA,10,10,NA,0,0,162
183,MTurk,a.mturk,0,0,3,NA,NA,NA,7,5,NA,1,0,162
184,MTurk,a.mturk,0,1,8,4,5,3,8,8,489,1,0,162
185,MTurk,a.mturk,1,0,4,NA,NA,NA,8,8,NA,0,0,162
186,MTurk,a.mturk,0,0,1,NA,NA,NA,10,9,NA,1,0,162
187,MTurk,a.mturk,1,0,0,NA,NA,NA,9,9,NA,0,0,162
188,MTurk,a.mturk,1,0,2,NA,NA,NA,7,5,NA,0,0,162
189,MTurk,a.mturk,0,0,1,NA,NA,NA,8,8,NA,1,0,162
190,MTurk,a.mturk,0,0,1,NA,NA,NA,10,5,NA,1,0,162
191,MTurk,a.mturk,0,1,3,1,10,9,9,8,546,1,0,162
192,MTurk,a.mturk,1,0,0,NA,NA,NA,10,10,NA,0,0,162
193,MTurk,a.mturk,1,1,3,3,7,7,8,9,524,0,0,162
194,MTurk,a.mturk,1,1,7,3,5,7,10,8,552,0,0,162
195,MTurk,a.mturk,1,0,1,NA,NA,NA,5,7,NA,0,0,162
196,MTurk,a.mturk,0,1,1,6,10,10,3,6,555,1,0,162
197,MTurk,a.mturk,1,0,3,NA,NA,NA,10,10,NA,0,0,162
198,MTurk,a.mturk,0,0,8,NA,NA,NA,10,9,NA,1,0,162
199,MTurk,a.mturk,0,1,5,5,10,10,5,8,534,1,0,162
200,MTurk,a.mturk,1,1,2,4,6,6,9,9,513,0,0,162
201,MTurk,a.mturk,1,0,1,NA,NA,NA,1,8,NA,0,0,162
202,MTurk,a.mturk,0,1,2,5,10,10,6,9,555,1,0,162
203,MTurk,a.mturk,0,1,3,1,7,7,9,8,502,1,0,162
204,MTurk,a.mturk,0,1,7,4,7,4,8,8,540,1,0,162
205,MTurk,a.mturk,1,0,6,NA,NA,NA,9,10,NA,0,0,162
206,MTurk,a.mturk,0,0,2,NA,NA,NA,9,7,NA,1,0,162
207,MTurk,a.mturk,0,0,3,NA,NA,NA,6,5,NA,1,0,162
208,MTurk,a.mturk,1,0,1,NA,NA,NA,10,10,NA,0,0,162
209,MTurk,a.mturk,0,0,1,NA,NA,NA,9,3,NA,1,0,162
210,MTurk,a.mturk,1,0,1,NA,NA,NA,6,8,NA,0,0,162
211,MTurk,a.mturk,1,1,6,2,10,10,3,10,499,0,0,162
213,MTurk,a.mturk,0,0,0,NA,NA,NA,10,0,NA,1,0,162
214,MTurk,a.mturk,1,0,3,NA,NA,NA,8,8,NA,0,0,162
215,MTurk,a.mturk,0,1,5,3,10,9,6,6,558,1,0,162
216,MTurk,a.mturk,0,1,5,3,7,9,6,5,345,1,0,162
217,MTurk,a.mturk,1,1,5,6,10,8,9,10,550,0,0,162
218,MTurk,a.mturk,0,0,6,NA,NA,NA,8,9,NA,1,0,162
219,MTurk,a.mturk,1,1,2,2,9,9,3,4,504,0,0,162
220,MTurk,a.mturk,0,0,0,NA,NA,NA,0,1,NA,1,0,162
221,MTurk,a.mturk,0,1,4,4,8,7,7,8,531,1,0,162
222,MTurk,a.mturk,1,1,6,3,10,10,10,10,532,0,0,162
223,MTurk,a.mturk,1,1,6,3,5,4,8,7,504,0,0,162
224,MTurk,a.mturk,1,1,2,5,10,9,8,9,525,0,0,162
225,MTurk,a.mturk,0,0,1,NA,NA,NA,0,0,NA,1,0,162
226,MTurk,a.mturk,0,0,1,NA,NA,NA,10,10,NA,1,0,162
227,MTurk,a.mturk,1,0,7,NA,NA,NA,10,9,NA,0,0,162
228,MTurk,a.mturk,1,1,4,2,5,7,4,7,555,0,0,162
229,MTurk,a.mturk,1,0,6,NA,NA,NA,9,10,NA,0,0,162
230,MTurk,a.mturk,1,0,3,NA,NA,NA,9,8,NA,0,0,162
231,MTurk,a.mturk,0,1,2,3,8,4,10,10,546,1,0,162
232,MTurk,a.mturk,0,0,7,NA,NA,NA,9,10,NA,1,0,162
233,MTurk,a.mturk,1,1,4,4,8,8,8,9,474,0,0,162
234,MTurk,a.mturk,1,0,2,NA,NA,NA,7,9,NA,0,0,162
235,MTurk,a.mturk,1,1,2,2,8,7,10,10,543,0,0,162
236,MTurk,a.mturk,1,0,1,NA,NA,NA,9,2,NA,0,0,162
237,MTurk,a.mturk,0,0,1,NA,NA,NA,7,6,NA,1,0,162
238,MTurk,a.mturk,1,0,2,NA,NA,NA,9,7,NA,0,0,162
239,MTurk,a.mturk,0,1,8,2,7,8,9,8,552,1,0,162
240,MTurk,a.mturk,1,1,3,3,8,8,2,6,528,0,0,162
241,MTurk,a.mturk,0,0,2,NA,NA,NA,9,0,NA,1,0,162
242,MTurk,a.mturk,0,1,0,3,10,10,9,9,549,1,0,162
243,MTurk,a.mturk,0,1,3,6,9,8,8,8,3,1,0,162
244,MTurk,a.mturk,0,1,9,3,6,5,7,9,549,1,0,162
245,MTurk,a.mturk,1,1,3,1,10,10,8,8,558,0,0,162
246,MTurk,a.mturk,1,1,5,2,8,8,3,7,552,0,0,162
247,MTurk,a.mturk,1,0,4,NA,NA,NA,8,9,NA,0,0,162
248,MTurk,a.mturk,1,0,4,NA,NA,NA,10,10,NA,0,0,162
249,MTurk,a.mturk,0,0,1,NA,NA,NA,5,4,NA,1,0,162
250,MTurk,a.mturk,0,0,1,NA,NA,NA,8,1,NA,1,0,162
251,MTurk,a.mturk,0,1,1,2,8,8,7,7,480,1,0,162
252,MTurk,a.mturk,1,1,5,2,7,7,6,5,522,0,0,162
253,MTurk,a.mturk,1,0,2,NA,NA,NA,7,6,NA,0,0,162
254,MTurk,a.mturk,0,1,7,3,7,6,6,6,546,1,0,162
255,MTurk,a.mturk,1,1,1,2,8,8,6,7,292,0,0,162
256,MTurk,a.mturk,0,0,1,NA,NA,NA,9,8,NA,1,0,162
257,MTurk,a.mturk,0,0,7,NA,NA,NA,2,2,NA,1,0,162
258,MTurk,a.mturk,0,1,3,5,6,6,8,6,540,1,0,162
259,MTurk,a.mturk,1,1,5,4,9,8,7,8,504,0,0,162
260,MTurk,a.mturk,1,1,5,2,5,7,3,5,558,0,0,162
261,MTurk,a.mturk,1,0,3,NA,NA,NA,8,7,NA,0,0,162
262,MTurk,a.mturk,0,0,1,NA,NA,NA,10,9,NA,1,0,162
264,MTurk,a.mturk,0,1,1,4,9,8,10,9,540,1,0,162
265,MTurk,a.mturk,1,0,2,NA,NA,NA,9,8,NA,0,0,162
266,MTurk,a.mturk,0,0,2,NA,NA,NA,7,8,NA,1,0,162
267,MTurk,a.mturk,1,0,3,NA,NA,NA,10,10,NA,0,0,162
268,MTurk,a.mturk,1,0,2,NA,NA,NA,9,8,NA,0,0,162
269,MTurk,a.mturk,1,0,0,NA,NA,NA,1,5,NA,0,0,162
270,MTurk,a.mturk,0,1,1,4,7,7,4,10,537,1,0,162
271,MTurk,a.mturk,0,0,0,NA,NA,NA,3,7,NA,1,0,162
272,MTurk,a.mturk,1,1,2,4,4,3,10,7,503,0,0,162
273,MTurk,a.mturk,1,0,1,NA,NA,NA,9,9,NA,0,0,162
274,MTurk,a.mturk,1,1,7,2,7,5,10,9,521,0,0,162
275,MTurk,a.mturk,0,0,0,NA,NA,NA,10,10,NA,1,0,162
276,MTurk,a.mturk,1,0,1,NA,NA,NA,8,0,NA,0,0,162
277,MTurk,a.mturk,0,1,6,5,6,10,1,7,465,1,0,162
278,MTurk,a.mturk,1,0,6,NA,NA,NA,8,8,NA,0,0,162
279,MTurk,a.mturk,0,0,5,NA,NA,NA,3,8,NA,1,0,162
280,MTurk,a.mturk,1,0,1,NA,NA,NA,9,9,NA,0,0,162
281,MTurk,a.mturk,1,1,5,3,10,9,10,10,513,0,0,162
282,MTurk,a.mturk,0,0,8,NA,NA,NA,10,10,NA,1,0,162
283,MTurk,a.mturk,0,1,2,3,7,5,6,4,550,1,0,162
284,MTurk,a.mturk,1,0,2,NA,NA,NA,10,6,NA,0,0,162
285,MTurk,a.mturk,0,1,9,4,8,9,8,9,548,1,0,162
286,MTurk,a.mturk,0,0,6,NA,NA,NA,10,10,NA,1,0,162
287,MTurk,a.mturk,1,1,7,4,7,5,3,2,528,0,0,162
288,MTurk,a.mturk,0,1,1,4,9,8,8,5,378,1,0,162
289,MTurk,a.mturk,1,1,0,3,5,5,3,10,85,0,0,162
290,MTurk,a.mturk,1,0,0,NA,NA,NA,9,10,NA,0,0,162
291,MTurk,a.mturk,1,1,5,2,10,10,8,8,543,0,0,162
292,MTurk,a.mturk,1,1,1,2,6,7,7,6,534,0,0,162
294,MTurk,a.mturk,0,0,3,NA,NA,NA,8,9,NA,1,0,162
295,MTurk,a.mturk,1,1,3,4,5,8,8,5,534,0,0,162
296,MTurk,a.mturk,1,0,0,NA,NA,NA,10,9,NA,0,0,162
297,MTurk,a.mturk,1,0,1,NA,NA,NA,8,6,NA,0,0,162
298,MTurk,a.mturk,0,0,4,NA,NA,NA,10,8,NA,1,0,162
299,MTurk,a.mturk,1,1,3,1,10,9,2,7,519,0,0,162
300,MTurk,a.mturk,0,1,6,5,10,8,7,7,546,1,0,162
301,MTurk,a.mturk,0,1,2,4,6,2,4,7,531,1,0,162
302,MTurk,a.mturk,1,1,2,4,9,8,10,10,522,0,0,162
303,MTurk,a.mturk,0,1,6,5,6,7,7,7,533,1,0,162
304,MTurk,a.mturk,1,1,7,3,10,10,8,7,551,0,0,162
305,MTurk,a.mturk,0,0,1,NA,NA,NA,8,7,NA,1,0,162
306,MTurk,a.mturk,0,1,0,3,9,7,3,9,339,1,0,162
307,MTurk,a.mturk,1,1,7,1,10,10,1,5,558,0,0,162
308,MTurk,a.mturk,1,0,0,NA,NA,NA,6,6,NA,0,0,162
310,MTurk,a.mturk,1,0,1,NA,NA,NA,8,8,NA,0,0,162
311,MTurk,a.mturk,1,1,0,5,8,8,3,1,519,0,0,162
312,MTurk,a.mturk,0,1,5,1,10,10,9,9,528,1,0,162
313,MTurk,a.mturk,1,0,0,NA,NA,NA,10,9,NA,0,0,162
314,MTurk,a.mturk,0,1,1,4,7,4,9,10,512,1,0,162
315,MTurk,a.mturk,1,0,2,NA,NA,NA,10,10,NA,0,0,162
316,MTurk,a.mturk,0,0,2,NA,NA,NA,10,8,NA,1,0,162
318,MTurk,a.mturk,1,0,2,NA,NA,NA,9,7,NA,0,0,162
319,MTurk,a.mturk,1,1,6,2,9,7,10,10,531,0,0,162
320,MTurk,a.mturk,0,0,1,NA,NA,NA,8,9,NA,1,0,162
321,MTurk,a.mturk,1,1,0,5,4,3,8,0,522,0,0,162
322,MTurk,a.mturk,0,0,0,NA,NA,NA,1,1,NA,1,0,162
323,MTurk,a.mturk,0,1,5,5,8,7,7,8,531,1,0,162
324,MTurk,a.mturk,0,0,1,NA,NA,NA,5,3,NA,1,0,162
325,MTurk,a.mturk,1,0,3,NA,NA,NA,4,5,NA,0,0,162
326,MTurk,a.mturk,1,1,7,3,8,10,10,8,552,0,0,162
327,MTurk,a.mturk,1,0,2,NA,NA,NA,2,5,NA,0,0,162
328,MTurk,a.mturk,1,0,3,NA,NA,NA,8,9,NA,0,0,162
329,MTurk,a.mturk,0,1,1,2,10,10,9,8,546,1,0,162
330,MTurk,a.mturk,1,1,5,5,10,10,9,9,525,0,0,162
331,MTurk,a.mturk,0,1,2,5,8,7,4,6,489,1,0,162
332,MTurk,a.mturk,1,1,1,4,6,3,4,1,520,0,0,162
333,MTurk,a.mturk,1,1,4,2,7,9,8,10,531,0,0,162
334,MTurk,a.mturk,0,1,7,2,8,7,9,9,540,1,0,162
335,MTurk,a.mturk,0,1,1,5,9,9,8,8,537,1,0,162
336,MTurk,a.mturk,0,1,3,6,7,4,10,8,526,1,0,162
337,MTurk,a.mturk,0,1,5,5,7,3,9,8,518,1,0,162
338,MTurk,a.mturk,1,0,2,NA,NA,NA,8,10,NA,0,0,162
339,MTurk,a.mturk,1,0,3,NA,NA,NA,10,10,NA,0,0,162
341,MTurk,a.mturk,0,0,1,NA,NA,NA,9,7,NA,1,0,162
342,MTurk,a.mturk,1,0,1,NA,NA,NA,7,9,NA,0,0,162
343,MTurk,a.mturk,0,0,0,NA,NA,NA,10,10,NA,1,0,162
344,MTurk,a.mturk,0,0,5,NA,NA,NA,7,9,NA,1,0,162
345,MTurk,a.mturk,1,1,7,3,10,9,9,9,552,0,0,162
346,MTurk,a.mturk,1,0,1,NA,NA,NA,9,7,NA,0,0,162
347,MTurk,a.mturk,0,0,4,NA,NA,NA,3,8,NA,1,0,162
348,MTurk,a.mturk,0,1,5,2,2,5,8,6,6,1,0,162
349,MTurk,a.mturk,0,1,5,5,10,10,7,7,531,1,0,162
350,MTurk,a.mturk,1,0,1,NA,NA,NA,8,5,NA,0,0,162
351,MTurk,a.mturk,1,0,1,NA,NA,NA,6,6,NA,0,0,162
352,MTurk,a.mturk,1,1,2,3,8,8,7,7,528,0,0,162
353,MTurk,a.mturk,0,1,1,3,7,6,8,9,516,1,0,162
354,MTurk,a.mturk,1,0,1,NA,NA,NA,10,5,NA,0,0,162
355,MTurk,a.mturk,0,1,1,4,5,7,8,8,542,1,0,162
356,MTurk,a.mturk,1,1,2,6,9,9,3,8,531,0,0,162
357,MTurk,a.mturk,0,0,5,NA,NA,NA,9,8,NA,1,0,162
358,MTurk,a.mturk,0,0,5,NA,NA,NA,10,8,NA,1,0,162
359,MTurk,a.mturk,0,1,2,2,7,7,10,10,501,1,0,162
360,MTurk,a.mturk,0,0,8,NA,NA,NA,8,9,NA,1,0,162
361,MTurk,a.mturk,1,0,3,NA,NA,NA,7,6,NA,0,0,162
362,MTurk,a.mturk,0,1,2,1,9,8,8,8,549,1,0,162
363,MTurk,a.mturk,0,0,0,NA,NA,NA,9,8,NA,1,0,162
364,MTurk,a.mturk,1,1,4,5,9,9,6,7,511,0,0,162
365,MTurk,a.mturk,1,1,2,1,5,3,2,8,534,0,0,162
366,MTurk,a.mturk,1,0,2,NA,NA,NA,8,9,NA,0,0,162
367,MTurk,a.mturk,1,1,4,5,7,7,9,8,549,0,0,162
368,MTurk,a.mturk,0,1,5,3,8,8,9,6,504,1,0,162
369,MTurk,a.mturk,0,1,3,3,9,7,7,8,462,1,0,162
370,MTurk,a.mturk,0,0,3,NA,NA,NA,2,5,NA,1,0,162
371,MTurk,a.mturk,1,1,2,1,8,9,7,6,512,0,0,162
